Count,Date,News,Agg News
4,2020-03-27,"Total cases: 531,860 Total Deaths: 24,057 •","Updates: Pakistan: 
 During last 24 hours, 140 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,197. One death reported in Punjab in last 24 hours. Total deaths 9 • 
 Global: 
 Total cases: 531,860 Total Deaths: 24,057 • 
 Total number of countries/regions affected: 175 •"
5,2020-03-27,Total number of countries/regions affected: 175 •,"Updates: Pakistan: 
 During last 24 hours, 140 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,197. One death reported in Punjab in last 24 hours. Total deaths 9 • 
 Global: 
 Total cases: 531,860 Total Deaths: 24,057 • 
 Total number of countries/regions affected: 175 •"
0,2020-03-28,Updates: Pakistan:,"Updates: Pakistan: 
 During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 • 
 Global: 
 Total cases: 597,072 Total Deaths: 27,360 • 
 Total number of countries/regions affected: 177 •"
1,2020-03-28,"During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national •","Updates: Pakistan: 
 During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 • 
 Global: 
 Total cases: 597,072 Total Deaths: 27,360 • 
 Total number of countries/regions affected: 177 •"
2,2020-03-28,"tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 •","Updates: Pakistan: 
 During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 • 
 Global: 
 Total cases: 597,072 Total Deaths: 27,360 • 
 Total number of countries/regions affected: 177 •"
3,2020-03-28,Global:,"Updates: Pakistan: 
 During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 • 
 Global: 
 Total cases: 597,072 Total Deaths: 27,360 • 
 Total number of countries/regions affected: 177 •"
4,2020-03-28,"Total cases: 597,072 Total Deaths: 27,360 •","Updates: Pakistan: 
 During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 • 
 Global: 
 Total cases: 597,072 Total Deaths: 27,360 • 
 Total number of countries/regions affected: 177 •"
5,2020-03-28,Total number of countries/regions affected: 177 •,"Updates: Pakistan: 
 During last 24 hours, 211 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,408. Two deaths reported in Punjab in last 24 hours. Total deaths 11 • 
 Global: 
 Total cases: 597,072 Total Deaths: 27,360 • 
 Total number of countries/regions affected: 177 •"
0,2020-03-29,Updates: Pakistan:,"Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
1,2020-03-29,"During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national •","Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
2,2020-03-29,"tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total •","Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
3,2020-03-29,deaths 13. •,"Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
4,2020-03-29,Global:,"Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
5,2020-03-29,"Total cases: 664,695 Total Deaths: 30,847 •","Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
6,2020-03-29,Total number of countries/regions affected: 177 •,"Updates: Pakistan: 
 During last 24 hours, 118 new cases confirmed by different laboratories, bringing the national • 
 tally to 1,526. One death reported in KP and one death reported in Sindh in last 24 hours. Total • 
 deaths 13. • 
 Global: 
 Total cases: 664,695 Total Deaths: 30,847 • 
 Total number of countries/regions affected: 177 •"
0,2020-03-30,Updates: Pakistan:,"Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
1,2020-03-30,"During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. •","Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
2,2020-03-30,"One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths •","Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
3,2020-03-30,18. •,"Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
4,2020-03-30,Global:,"Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
5,2020-03-30,"Total cases: 722,289 Total Deaths: 33,984 •","Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
6,2020-03-30,Total number of countries/regions affected: 177 •,"Updates: Pakistan: 
 During last 24 hours, 99 new cases confirmed by different laboratories, bringing the national tally to 1,625. • 
 One death reported in KP, one death reported in Punjab and three in Sindh in last 24 hours. Total deaths • 
 18. • 
 Global: 
 Total cases: 722,289 Total Deaths: 33,984 • 
 Total number of countries/regions affected: 177 •"
0,2020-03-31,Updates: Pakistan:,"Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
1,2020-03-31,"During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to •","Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
2,2020-03-31,"1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last •","Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
3,2020-03-31,24 hours. Total deaths 25. •,"Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
4,2020-03-31,Global:,"Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
5,2020-03-31,"Total cases: 785,709 Total Deaths: 37,686 •","Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
6,2020-03-31,Total number of countries/regions affected: 178 •,"Updates: Pakistan: \n During last 24 hours, 240 new cases confirmed by different laboratories, bringing the national tally to • \n 1,865. One death reported in KP and GB each, three deaths reported in Punjab and two in Sindh in last • \n 24 hours. Total deaths 25. • \n Global: \n Total cases: 785,709 Total Deaths: 37,686 • \n Total number of countries/regions affected: 178 •"
0,2020-04-01,Updates: Pakistan:,"Updates: Pakistan: \n During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to • \n 2,039. One death reported from Sindh in last 24 hours. Total deaths 26. • \n Global: \n Total cases: 859,556 Total Deaths: 42,332 • \n Total number of countries/regions affected: 180 •"
1,2020-04-01,"During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to •","Updates: Pakistan: \n During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to • \n 2,039. One death reported from Sindh in last 24 hours. Total deaths 26. • \n Global: \n Total cases: 859,556 Total Deaths: 42,332 • \n Total number of countries/regions affected: 180 •"
2,2020-04-01,"2,039. One death reported from Sindh in last 24 hours. Total deaths 26. •","Updates: Pakistan: \n During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to • \n 2,039. One death reported from Sindh in last 24 hours. Total deaths 26. • \n Global: \n Total cases: 859,556 Total Deaths: 42,332 • \n Total number of countries/regions affected: 180 •"
3,2020-04-01,Global:,"Updates: Pakistan: \n During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to • \n 2,039. One death reported from Sindh in last 24 hours. Total deaths 26. • \n Global: \n Total cases: 859,556 Total Deaths: 42,332 • \n Total number of countries/regions affected: 180 •"
4,2020-04-01,"Total cases: 859,556 Total Deaths: 42,332 •","Updates: Pakistan: \n During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to • \n 2,039. One death reported from Sindh in last 24 hours. Total deaths 26. • \n Global: \n Total cases: 859,556 Total Deaths: 42,332 • \n Total number of countries/regions affected: 180 •"
5,2020-04-01,Total number of countries/regions affected: 180 •,"Updates: Pakistan: \n During last 24 hours, 174 new cases confirmed by different laboratories, bringing the national tally to • \n 2,039. One death reported from Sindh in last 24 hours. Total deaths 26. • \n Global: \n Total cases: 859,556 Total Deaths: 42,332 • \n Total number of countries/regions affected: 180 •"
0,2020-04-02,Updates: Pakistan:,"Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
1,2020-04-02,"During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to •","Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
2,2020-04-02,"2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. •","Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
3,2020-04-02,Total deaths 31. •,"Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
4,2020-04-02,Global:,"Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
5,2020-04-02,"Total cases:937,170 Total Deaths: 47,231 •","Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
6,2020-04-02,Total number of countries/regions affected: 180 •,"Updates: Pakistan: \n During last 24 hours, 252 new cases confirmed by different laboratories, bringing the national tally to • \n 2,291. Two deaths reported from Punjab and KP each. One death reported from Sindh in last 24 hours. • \n Total deaths 31. • \n Global: \n Total cases:937,170 Total Deaths: 47,231 • \n Total number of countries/regions affected: 180 •"
0,2020-04-03,Updates: Pakistan:,"Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
1,2020-04-03,"During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to •","Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
2,2020-04-03,"2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total •","Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
3,2020-04-03,deaths 35. •,"Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
4,2020-04-03,Global:,"Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
5,2020-04-03,"Total cases:1,015,709 Total Deaths: 53,069 •","Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
6,2020-04-03,Total number of countries/regions affected: 181 •,"Updates: Pakistan: \n During last 24 hours, 159 new cases confirmed by different laboratories, bringing the national tally to • \n 2,450. Two deaths reported from Sindh. One death reported from GB and KP each in last 24 hours. Total • \n deaths 35. • \n Global: \n Total cases:1,015,709 Total Deaths: 53,069 • \n Total number of countries/regions affected: 181 •"
