Count,region,Provinces Preparedness and Response,Date,Agg Provinces Preparedness and Response
5,GB,All suspected Travellers coming from Taftan will be tested for COVID-19  •,2020-03-28,All suspected Travellers coming from Taftan will be tested for COVID-19  •
0,Balochistan,"Due to increasing number of OPD patients after closure of OPD of tertiary hospital, PPHI establish triage setup in BHUs in 5   health facilities •",2020-03-29,"Due to increasing number of OPD patients after closure of OPD of tertiary hospital, PPHI establish triage setup in BHUs in 5   health facilities •"
1,Sindh,Distribution of N95 masks across the province was done   •,2020-03-29,Distribution of N95 masks across the province was done   •
2,Punjab,"District level trainings of HDU/Isolation/Quarantine staff were initiated on 27th March,3 districts were covered on day 1  •",2020-03-29,"District level trainings of HDU/Isolation/Quarantine staff were initiated on 27th March,3 districts were covered on day 1  •"
3,KP,Quarantine discontinuation guidelines developed and disseminated.  •,2020-03-29,Quarantine discontinuation guidelines developed and disseminated.  •
4,AJK,SOPs on COVID-19 prepared by Department of health AJK has been printed and distributed to all health managers  •,2020-03-29,SOPs on COVID-19 prepared by Department of health AJK has been printed and distributed to all health managers  •
5,GB,All suspected Travellers coming from Taftan will be tested for COVID-19  •,2020-03-29,All suspected Travellers coming from Taftan will be tested for COVID-19  •
0,Balochistan,"PDMA received 50,000 KN95 masks from NDMA for further distribution to affected districts.   •",2020-03-30,"PDMA received 50,000 KN95 masks from NDMA for further distribution to affected districts.   •"
1,Sindh,Distribution of N95 masks across the province was done   •,2020-03-30,Distribution of N95 masks across the province was done   •
2,Punjab,District level trainings of HDU/Isolation/Quarantine staff underway.   •,2020-03-30,District level trainings of HDU/Isolation/Quarantine staff underway.   •
3,KP,In the wake of reported death in Abbottabad the potential high risk are has been locked down.   •,2020-03-30,In the wake of reported death in Abbottabad the potential high risk are has been locked down.   •
4,AJK,A new field isolation hospital for COVID-19 patients with 50 bed capacity is being established in Muzaffarabad. Hospital will be operational   within 1 week •,2020-03-30,A new field isolation hospital for COVID-19 patients with 50 bed capacity is being established in Muzaffarabad. Hospital will be operational   within 1 week •
5,GB,All suspected Travellers coming from Taftan are being tested for COVID-19  •,2020-03-30,All suspected Travellers coming from Taftan are being tested for COVID-19  •
0,Balochistan,VPD control programme has done fumigation of entire central jail Quetta •,2020-03-31,VPD control programme has done fumigation of entire central jail Quetta • \n Spray pumps and disinfectants distributed to 10 districts •
1,Balochistan,Spray pumps and disinfectants distributed to 10 districts •,2020-03-31,VPD control programme has done fumigation of entire central jail Quetta • \n Spray pumps and disinfectants distributed to 10 districts •
2,Sindh,Distribution of N95 masks across the province was done •,2020-03-31,Distribution of N95 masks across the province was done •
3,Punjab,District level trainings of HDU/Isolation/Quarantine staff underway •,2020-03-31,District level trainings of HDU/Isolation/Quarantine staff underway •
4,KP,"Equipment and supplies including oxygen concentrators, cardiac monitors, infusion pumps, dialysis catheter and other PPE distributed among all districts •",2020-03-31,"Equipment and supplies including oxygen concentrators, cardiac monitors, infusion pumps, dialysis catheter and other PPE distributed among all districts •"
5,AJK,"Virology lab at Abbas Institute of Medical Sciences, Muzaffarabad has started PCR testing for COVID-19 •",2020-03-31,"Virology lab at Abbas Institute of Medical Sciences, Muzaffarabad has started PCR testing for COVID-19 •"
6,GB,"Education Institutions closed till 5th April,2020 as preventive measure •",2020-03-31,"Education Institutions closed till 5th April,2020 as preventive measure •"
0,Balochistan,"With the support of UNICEF, the DG Health on 31st March inaugurated the mobile miking (COVID-19) in Quetta City. Through miking of key messages on social distancing as well as other preventive measures will be communicated in Urdu and regional languages. •",2020-04-01,"With the support of UNICEF, the DG Health on 31st March inaugurated the mobile miking (COVID-19) in Quetta City. Through miking of key messages on social distancing as well as other preventive measures will be communicated in Urdu and regional languages. •"
1,Sindh,Distribution of N95 masks across the province was done •,2020-04-01,Distribution of N95 masks across the province was done •
2,Punjab,District level trainings of HDU/Isolation/Quarantine staff underway •,2020-04-01,District level trainings of HDU/Isolation/Quarantine staff underway •
3,KP,"Consequent to measures taken for strengthening, laboratory has doubled its testing capacity •",2020-04-01,"Consequent to measures taken for strengthening, laboratory has doubled its testing capacity •"
4,AJK,Contact tracing of confirmed cases done. 50 samples from Mirpur and 40 samples from District Bhimber were taken and sent to NIH •,2020-04-01,Contact tracing of confirmed cases done. 50 samples from Mirpur and 40 samples from District Bhimber were taken and sent to NIH •
5,GB,Involvement of WHO staff to provide support in terms of data management at district level •,2020-04-01,Involvement of WHO staff to provide support in terms of data management at district level •
0,Balochistan,WHO is facilitating the RRT training initiated by NIH with the collaboration of USAID to strengthen PDSRU and establish DDSRU. •,2020-04-02,WHO is facilitating the RRT training initiated by NIH with the collaboration of USAID to strengthen PDSRU and establish DDSRU. •
1,Sindh,Sindh Government has established Corona Virus Emergency Fund. •,2020-04-02,Sindh Government has established Corona Virus Emergency Fund. •
2,Punjab,Provincial Cabinet is daily reviewing the emerging situation of COVID-19 in the province. •,2020-04-02,Provincial Cabinet is daily reviewing the emerging situation of COVID-19 in the province. •
3,KP,"A uniform, comprehensive and standard case reporting format has been developed. Data of all cases will be collected on this format. •",2020-04-02,"A uniform, comprehensive and standard case reporting format has been developed. Data of all cases will be collected on this format. •"
4,AJK,MNCH program released Rs. 2.25 million to all 10 districts health officers for provision of PPEs to MNCH staff working at all hospitals and field front line workers. •,2020-04-02,MNCH program released Rs. 2.25 million to all 10 districts health officers for provision of PPEs to MNCH staff working at all hospitals and field front line workers. •
5,GB,Involvement of WHO staff to provide support in terms of data management at district level •,2020-04-02,Involvement of WHO staff to provide support in terms of data management at district level •
0,Balochistan,"On request of DHO Chagai, PPHI will support in identifying in suspected cases and support an investigation •",2020-04-03,"On request of DHO Chagai, PPHI will support in identifying in suspected cases and support an investigation • \n RRT team lead attended the meeting for COVID-19 case management system at EOC Balochistan •"
1,Balochistan,RRT team lead attended the meeting for COVID-19 case management system at EOC Balochistan •,2020-04-03,"On request of DHO Chagai, PPHI will support in identifying in suspected cases and support an investigation • \n RRT team lead attended the meeting for COVID-19 case management system at EOC Balochistan •"
2,Sindh,Sindh Government has disbursed Rs.569.604 million to provide relief to deserving people •,2020-04-03,Sindh Government has disbursed Rs.569.604 million to provide relief to deserving people •
3,Punjab,District level trainings of HDU/Isolation/Quarantine staff initiated since 27th March •,2020-04-03,District level trainings of HDU/Isolation/Quarantine staff initiated since 27th March •
4,KP,Data transcription on to the IPMS software hosted at PMRU has been completed •,2020-04-03,Data transcription on to the IPMS software hosted at PMRU has been completed •
5,AJK,"Out of 9 confirmed cases, 6 are local transmission in close contacts •",2020-04-03,"Out of 9 confirmed cases, 6 are local transmission in close contacts •"
6,GB,Involvement of WHO staff to provide support in terms of data management at district level •,2020-04-03,Involvement of WHO staff to provide support in terms of data management at district level •
